Algoritmo,Base,Repeticao,D,Dp,Dn,Atributos,I,Tempo,Testes,Seed,WRAcc,size,TP,FP,SUPP,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDP,borovecki-pn-freq-2,2,31,17,14,22283,44566,1.342,802188,125164703,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
SSDP,borovecki-pn-freq-2,3,31,17,14,22283,44566,1.357,802188,132011827,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
SSDP,borovecki-pn-freq-2,4,31,17,14,22283,44566,1.326,802188,124987441,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
SSDP,borovecki-pn-freq-2,5,31,17,14,22283,44566,1.373,802188,123979721,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
SSDP,borovecki-pn-freq-2,6,31,17,14,22283,44566,1.341,802188,119777719,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
SSDP,borovecki-pn-freq-2,7,31,17,14,22283,44566,1.342,802188,117705823,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
SSDP,borovecki-pn-freq-2,8,31,17,14,22283,44566,1.357,802188,112131119,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
SSDP,borovecki-pn-freq-2,9,31,17,14,22283,44566,1.31,802188,108626351,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
SSDP,borovecki-pn-freq-2,10,31,17,14,22283,44566,1.326,802188,107980007,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
SSDP,borovecki-pn-freq-4,1,31,17,14,22283,89132,2.402,1604376,179424673,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-4,2,31,17,14,22283,89132,2.387,1604376,125164703,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-4,3,31,17,14,22283,89132,2.418,1604376,132011827,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-4,4,31,17,14,22283,89132,2.387,1604376,124987441,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-4,5,31,17,14,22283,89132,2.402,1604376,123979721,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-4,6,31,17,14,22283,89132,2.387,1604376,119777719,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-4,7,31,17,14,22283,89132,2.34,1604376,117705823,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-4,8,31,17,14,22283,89132,2.371,1604376,112131119,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-4,9,31,17,14,22283,89132,2.418,1604376,108626351,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-4,10,31,17,14,22283,89132,2.387,1604376,107980007,0.131113424,1,9,0,1,9,10.44385027,0.001230585,1.823529412,0.529411765,5,Infinity,Infinity,0.290322581,1,0.290322581,0.529411765,0
SSDP,borovecki-pn-freq-8,1,31,17,14,22283,178257,5.491,3208626,179424673,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
SSDP,borovecki-pn-freq-8,2,31,17,14,22283,178257,5.553,3208626,125164703,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
SSDP,borovecki-pn-freq-8,3,31,17,14,22283,178257,5.039,3208626,132011827,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
SSDP,borovecki-pn-freq-8,4,31,17,14,22283,178257,5.538,3208626,124987441,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
SSDP,borovecki-pn-freq-8,5,31,17,14,22283,178257,4.703,3208626,123979721,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
